1569,International Hydraulics,,01/02/17,p10-16,,,billed,,,01/17/17,,,01/17/17,Done
1569,International Hydraulics,,01/11/17,p10-21 (2),,,billed,,,01/17/17,,,01/17/17,Done
1610,UNT HSC Child Care,,01/19/17,p10-26,,,billed,,,01/26/17,,,01/26/17,Done
1610,UNT HSC Child Care,,01/24/17,p10-27,,,billed,,,01/26/17,,,01/26/17,Done
1580,Rental One - Denton,,01/24/17,p10-26,Completed on Rev 1,,billed,,,01/28/17,,,01/28/17,Done
1421,KXAS Remodel,,01/03/17,p10-16,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1591,JPS 3rd Floor OR Renovation,,01/03/17,p10-16,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1592,Deer Park Animal Shelter,,01/05/17,Add TP-2 to design,,,billed,,,01/30/17,,,01/30/17,Done
1594,Pflugerville AS,,01/03/17,p10-16,Wait for implementation. 1/10/17,,billed,,,01/30/17,,,01/30/17,Done
1591,JPS 3rd Floor OR Renovation,,01/04/17,p10-16,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1591,JPS 3rd Floor OR Renovation,,01/10/17,p10-19,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1581,Crescent Schools,,01/10/17,p10-20,Superceded,,billed,,,01/30/17,,,01/30/17,Done
1594,Pflugerville AS,,01/10/17,p10-21,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1581,Crescent Schools,,01/10/17,p10-21,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1592,Deer Park Animal Shelter,,01/18/17,COMCheck,,,billed,,,01/30/17,,,01/30/17,Done
1592,Deer Park Animal Shelter,,01/18/17,Add EWC,,,billed,,,01/30/17,,,01/30/17,Done
1592,Deer Park Animal Shelter,,01/18/17,Add Trap primers in 3 locations. P10-25,,,billed,,,01/30/17,,,01/30/17,Done
1392,UNT Clark Bakery,,01/18/17,p10-25,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1581,Crescent Schools,,01/09/17,p10-19,Done,,billed,,,01/30/17,,,01/30/17,Done
1594,Pflugerville AS,,01/24/17,p10-26,Transferred to DesignCriteria sheet,,billed,,,01/30/17,,,01/30/17,Done
1592,Deer Park Animal Shelter,,01/24/17,p10-27,,,billed,,,01/30/17,,,01/30/17,Done
1592,Deer Park Animal Shelter,,02/01/17,Utility Coordination,2/1 Called and left message p10-34,,billed,,,02/15/17,,,02/15/17,Done
1538,UNT Coliseum Concourse,p10-42,02/14/17,p10-42,,,billed,,,02/15/17,,,02/15/17,Done
1559,Southlake MOB Shell,,02/01/17,Item 10 on city comments,2/1 sent email to City,,billed,,,02/16/17,,,02/16/17,Done
1594,Pflugerville AS,,02/01/17,Utility Coordination,2/1 requested address p10-34,,billed,,,02/17/17,,,02/17/17,Done
1538,UNT Coliseum Concourse,,02/21/17,Concourse LTG layout,,,billed,,,02/23/17,2,2,02/23/17,Done
1538,UNT Coliseum Concourse,,,Restroom LTG layout,,,billed,,,02/23/17,1,2,02/23/17,Done
1538,UNT Coliseum Concourse,,,Office LTG layout,,,billed,,,02/23/17,1,2,02/23/17,Done
1538,UNT Coliseum Concourse,,,Office LTG controls,,,billed,,,02/23/17,1,2,02/23/17,Done
1538,UNT Coliseum Concourse,,,Office PWR,,,billed,,,02/23/17,1,2,02/23/17,Done
1627,Blo Blow Dry Bar,,02/25/17,MP Proposal,,,billed,1,,02/25/17,1,0.5,02/25/17,Done
1570,Forney MOB Tenant Improvement,Final Comments - Gas Generator,02/25/17,LTG Submittal,,,billed,2,,02/25/17,1,0.5,02/25/17,Done
1628,Machine House,,02/25/17,Proposal,,,billed,3,,02/25/17,1,0.5,02/25/17,Done
1627,Blo Blow Dry Bar,,02/25/17,Review Set,,,billed,4,,02/25/17,3,3,02/27/17,Done
1392,UNT Clark Bakery,p10-48,02/25/17,Retarder Feed mismatch issue,Final Comments - Gas Generator,2/25 Debbie to confirm voltage,billed,,,02/26/17,,,03/13/17,Done
1392,UNT Clark Bakery,p10-49,02/25/17,Chuncker Feed mistmatch issue,,,billed,1,,02/27/17,1,1,02/27/17,Done
1617,Werner Enterprises Laredo,,02/25/17,p10-49,,,billed,2,,02/27/17,2,2,02/27/17,Done
MKT,Marketing,,02/25/17,Form 330 to Patricia,,,billed,3,,02/27/17,1,1,02/28/17,Done
1416,DCCCD Eastfield Generator,p10-49,02/27/17,Pipeline / Arcadia,,,billed,4,,02/27/17,,,02/28/17,Done
1617,Werner Enterprises Laredo,,02/28/17,IFR,,,billed,,,02/28/17,5,5,02/28/17,Done
OPS,Operations,,02/23/17,Talk to Melissa about prof liability,,,billed,6,,03/01/17,1,1,03/01/17,Done
1392,UNT Clark Bakery,,02/28/17,Site Visit,,,billed,,,03/02/17,3,3,03/02/17,Done
1581,Crescent Schools,,02/28/17,Set up site plans,,,billed,,,03/03/17,2,2,03/03/17,Done
1592,Deer Park Animal Shelter,Pipeline / Arcadia,02/25/17,Final Comments - Gas Generator,"Need to answer the ""?"" on plans",,billed,5,,03/06/17,2,2,03/07/17,Done
1538,UNT Coliseum Concourse,,03/06/17,DD Meeting,,,billed,,,03/06/17,5,5,03/06/17,Done
1610,UNT HSC Child Care,,02/09/17,Addendum,"3/3 - Revision 2
2/9 Need date",,billed,,,03/07/17,0,0,03/07/17,Done
1610,UNT HSC Child Care,,03/06/17,Revision 2,,,billed,,,03/07/17,2,2,03/07/17,Done
